Word/Phrase,Pronunciation,Definition,Bangla meaning,Example Sentence,ai prompt,Collocations,0
retirement (n.),rɪˈtaɪəmənt/ রিটায়ারমেন্ট/ rih-ty-er-muhnt,The action or fact of leaving one's job and ceasing to work.,অবসর,She is enjoying her retirement.,A gold watch resting on a table next to a relaxing cup of coffee.,"early retirement, reach retirement",
"return (v.), (n.) ",rɪˈtɜːn/ রিটার্ন/ rih-turn,Come or go back to a place or person; the act of coming or going back.,ফিরে আসা / ফেরত দেওয়া,He will return home tomorrow.,"A boomerang flying through the air, curving back to where it started.","return journey, safe return",
reveal (v.),rɪˈviːl/ রিভিল/ rih-veel,Make (previously unknown or secret information) known to others.,প্রকাশ করা,He refused to reveal the secret.,A dark curtain being pulled back to show a glowing treasure chest.,"reveal the truth, reveal a secret",
"reverse (v.), (n.) ",rɪˈvɜːs/ রিভার্স/ rih-vurs,Move backward; the opposite direction or manner.,বিপরীত দিকে যাওয়া / উল্টো,He had to reverse the car into the space.,A car's glowing red tail lights as it backs into a parking spot.,"in reverse, reverse direction",
"review (n.), (v.) ",rɪˈvjuː/ রিভিউ/ rih-vyoo,A formal assessment of something with the intention of instituting change if necessary.,পর্যালোচনা / পর্যালোচনা করা,The company is conducting a review of its policies.,A hand holding a pen and checking off items on an evaluation form.,"annual review, write a review",
revise (v.),rɪˈvaɪz/ রিভাইজ/ rih-vize,Re-examine and make alterations to (written or printed matter).,পুনর্বিবেচনা করা / সংশোধন করা,You need to revise this essay before submitting it.,A student using a red pen to correct and rewrite lines on a paper.,"revise a plan, constantly revise",
revision (n.),rɪˈvɪʒn/ রিভিশন/ rih-vizh-uhn,The action of revising.,সংশোধন / পুনরালোচনা,She is doing some revision for her exams.,A stack of colorful flashcards and highlighters on a student's desk.,"major revision, exam revision",
revolution (n.),ˌrevəˈluːʃn/ রেভোলিউশন/ rev-uh-loo-shuhn,"A forcible overthrow of a government or social order, in favor of a new system.",বিপ্লব,The industrial revolution changed the world.,"Gears and steam engines replacing old hand tools, showing progress.","industrial revolution, start a revolution",
"reward (n.), (v.) ",rɪˈwɔːd/ রিওয়ার্ড/ rih-word,"A thing given in recognition of service, effort, or achievement.",পুরস্কার / পুরস্কৃত করা,He received a reward for his hard work.,A shiny gold medal resting on a rich blue velvet pillow.,"claim a reward, highly rewarding",
rhythm (n.),ˈrɪðəm/ রিদম/ rith-uhm,"A strong, regular repeated pattern of movement or sound.",ছন্দ,I love the rhythm of the music.,"A visual equalizer displaying colorful, pulsing sound waves.","musical rhythm, natural rhythm",
rice (n.),raɪs/ রাইস/ rys,"A swamp grass which is widely cultivated as a source of food, especially in Asia.",ভাত / চাল,We had chicken and rice for dinner.,"A steaming, full bowl of perfectly cooked white rice.","bowl of rice, boiled rice",
rich (adj.),rɪtʃ/ রিচ/ rich,Having a great deal of money or assets; wealthy.,ধনী,He is a very rich businessman.,A sleek black luxury car parked outside an enormous mansion.,"rich in, grow rich",
rid (v.): get rid of,rɪd/ রিড/ rid,Make someone or something free of (a troublesome or unwanted person or thing).,মুক্ত করা / পরিত্রাণ পাওয়া,We must get rid of the mice in the house.,A broom sweeping away dirt and dust into a pan.,"get rid of, try to rid",
"ride (v.), (n.) ",raɪd/ রাইড/ ryd,"Sit on and control the movement of (an animal, typically a horse, or a bicycle or motorcycle).","চড়া (গাড়ি, ঘোড়া ইত্যাদি)",Can you ride a bicycle?,A person riding a vintage bicycle down a sunny park trail.,"ride a bike, go for a ride",
rider (n.),ˈraɪdə(r)/ রাইডার/ ry-der,"A person who is riding or who can ride a horse, bicycle, motorcycle, etc.",আরোহী,The horse threw its rider.,A professional jockey sitting confidently on a racehorse.,"horse rider, skilled rider",
ridiculous (adj.),rɪˈdɪkjələs/ রিডিকুলাস/ rih-dik-yuh-luhs,Deserving or inviting derision or mockery; absurd.,হাস্যকর,You look ridiculous in that hat.,"A person wearing a massive, overly bright, completely silly clown hat.","look ridiculous, absolutely ridiculous",
riding (n.),ˈraɪdɪŋ/ রাইডিং/ ry-ding,"The sport or activity of riding horses, bicycles, or motorcycles.",অশ্বারোহণ / বাহনে চড়া,She goes horseback riding every weekend.,A pair of leather riding boots and a riding crop resting on a fence.,"horse riding, go riding",
"right (adj.), (adv.), (n.) ",raɪt/ রাইট/ ryt,"Morally good, justified, or acceptable; true or correct as a fact.",সঠিক / ডান / অধিকার,You made the right decision.,"A large, glowing green checkmark indicating a correct answer.","right side, absolutely right",
rightly (adv.),ˈraɪtli/ রাইটলি/ ryt-lee,"In accordance with what is true, right, or just.",যথাযথভাবে,She was rightly praised for her actions.,"A gavel striking a sounding block, representing justice and correctness.","quite rightly, rightly assume",
"ring (n.), (v.) ",rɪŋ/ রিং/ ring,"A small circular band, typically of precious metal; make a clear resonant or vibrating sound.",আংটি / বাজানো,He gave her a diamond ring.,A beautiful diamond engagement ring sparkling in soft light.,"wedding ring, phone rings",
"rise (n.), (v.) ",raɪz/ রাইজ/ ryz,Move from a lower position to a higher one; come or go up.,উত্থান / ওঠা,The sun will rise at 6 AM.,A brilliant sunrise slowly peeking over a mountain horizon.,"sun rise, steep rise",
"risk (n.), (v.) ",rɪsk/ রিস্ক/ risk,A situation involving exposure to danger.,ঝুঁকি,He took a big risk by investing all his money.,A person carefully walking on a thin tightrope high in the air.,"high risk, run the risk",
"rival (n.), (adj.) ",ˈraɪvl/ রাইভাল/ ry-vuhl,A person or thing competing with another for the same objective or for superiority in the same field of activity.,প্রতিদ্বন্দ্বী,He beat his closest rival in the election.,Two sprinters glaring at each other right before a race starts.,"chief rival, fierce rival",
river (n.),ˈrɪvə(r)/ রিভার/ riv-er,"A large natural stream of water flowing in a channel to the sea, a lake, or another such stream.",নদী,We walked along the banks of the river.,"A wide, calm river winding beautifully through a green valley.","cross the river, river bank",
road (n.),rəʊd/ রোড/ rohd,"A wide way leading from one place to another, especially one with a specially prepared surface which vehicles can use.",রাস্তা,The road was blocked by a fallen tree.,"A long, winding paved road stretching toward the horizon.","main road, cross the road",
rob (v.),rɒb/ রব/ rob,Take property unlawfully from (a person or place) by force or threat of force.,ডাকাতি করা,They tried to rob the bank.,A silhouette of a burglar carrying a heavy sack running away in the night.,"rob a bank, violently rob",
rock (n.),rɒk/ রক/ rok,The solid mineral material forming part of the surface of the earth and other similar planets.,পাথর,He threw a rock into the water.,"A rugged, heavy grey stone resting on a mossy ground.","solid rock, climb a rock",
role (n.),rəʊl/ রোল/ rohl,"An actor's part in a play, film, etc.; the function assumed or part played by a person or thing in a particular situation.",ভূমিকা,She played a leading role in the movie.,A glowing theater mask symbolizing acting and performance.,"leading role, play a role",
"roll (n.), (v.) ",rəʊl/ রোল/ rohl,Move or cause to move in a particular direction by turning over and over.,গড়ানো / গুটানো,The ball rolled down the hill.,A red ball tumbling quickly down a grassy slope.,"roll down, roll the dice",
romantic (adj.),rəʊˈmæntɪk/ রোমান্টিক/ roh-man-tik,Conducive to or characterized by the expression of love.,রোমান্টিক / প্রেমময়,They had a romantic dinner by the sea.,A candlelit dinner table for two set on a beautiful twilight beach.,"romantic dinner, highly romantic",
roof (n.),ruːf/ রুফ/ roof,The structure forming the upper covering of a building or vehicle.,ছাদ,The rain was falling heavily on the roof.,A steeply angled house roof covered in classic red clay tiles.,"leaky roof, on the roof",
room (n.),ruːm/ রুম/ room,"Space that can be occupied or where something can be done; a part or division of a building enclosed by walls, floor, and ceiling.",কক্ষ / জায়গা,This is my living room.,"A bright, airy living room with a comfortable sofa and big windows.","make room, living room",
